ID Testu,Funkcja,Kroki Testowe,Oczekiwany Rezultat,Status,Notatki
4.1,Uruchamianie skryptu,"1. Otwórz plik z kodem w obsługiwanym języku (np. Python).
2. W menu 'Uruchom' wybierz 'Uruchom Skrypt' lub naciśnij F5.","- Kod zostaje uruchomiony.
- Wynik działania skryptu pojawia się w panelu wyjściowym.
- Błędy (jeśli wystąpią) są wyświetlane w panelu wyjściowym.",,
4.2,Debugowanie skryptu,"1. Ustaw breakpointy w kodzie (jeśli jest taka funkcjonalność).
2. W menu 'Uruchom' wybierz 'Debuguj Skrypt' lub naciśnij F6.
3. Podłącz się do debuggera (np. za pomocą VSCode).","- Skrypt uruchamia się w trybie debugowania.
- Debugger zatrzymuje się na ustawionych breakpointach.
- Możliwość wykonywania krokowego, podglądu zmiennych itp.",,
5.1,Uruchomienie lintera,"1. W menu 'Konfiguracja' wybierz 'Sprawdź poprawność kodu' lub naciśnij Ctrl+L.","- Linter analizuje kod.
- Wyniki analizy (błędy, ostrzeżenia) są wyświetlane w panelu wyjściowym.
- Błędy są podświetlane w edytorze (np. podkreślenie faliste).",,
5.2,Ustawienie konfiguracji Flake8,"1. Przygotuj plik konfiguracyjny dla Flake8.
2. W menu 'Konfiguracja' wybierz 'Ustaw Konfigurację Flake8'.
3. Wskaż plik konfiguracyjny.","- Konfiguracja Flake8 zostaje załadowana.
- Kolejne uruchomienia lintera uwzględniają nową konfigurację.",,
6.1,Zmiana motywu,"1. W menu 'Konfiguracja' wybierz 'Ustawienia IDE'.
2. Wybierz inny motyw (np. z 'Jasny' na 'Ciemny').
3. Zapisz zmiany.","- Wygląd aplikacji zmienia się zgodnie z wybranym motywem.
- Kolory w edytorze, panelu nawigacji i innych elementach są odpowiednio dostosowane.",,
6.2,Zmiana rozmiaru czcionki,"1. W menu 'Konfiguracja' wybierz 'Ustawienia IDE'.
2. Zmień rozmiar czcionki na inny (np. z 12 na 16).
3. Zapisz zmiany.","- Rozmiar czcionki w edytorze kodu zmienia się zgodnie z ustawieniem.",,
6.3,Włączanie/wyłączanie opcji,"1. W menu 'Konfiguracja' wybierz 'Ustawienia IDE'.
2. Włącz lub wyłącz opcje takie jak 'Automatyczne czyszczenie wklejania', 'Inteligentne wcięcie', 'Potwierdzenie przed usunięciem', 'Tryb skupienia'.
3. Zapisz zmiany.","- Działanie aplikacji dostosowuje się do wybranych ustawień.
- Na przykład, w trybie skupienia panele boczne są ukrywane.",,
7.1,Wyświetlanie funkcji i klas,"1. Otwórz plik z kodem zawierającym funkcje i klasy.
2. Sprawdź panel nawigacji kodu.","- Panel nawigacji wyświetla listę funkcji i klas.
- Kliknięcie na element przenosi kursor do odpowiedniego miejsca w kodzie.",,
7.2,Aktualizacja panelu nawigacji,"1. Dodaj nową funkcję lub klasę w kodzie.
2. Sprawdź, czy panel nawigacji został zaktualizowany.","- Nowo dodane elementy pojawiają się w panelu nawigacji.
- Poprawnie działają linki do nich.",,
8.1,Reakcja na błędne operacje,"1. Spróbuj wykonać operację bez wymaganych kroków, np. 'Commit' bez wybranego repozytorium Git.","- Aplikacja wyświetla odpowiedni komunikat o błędzie.
- Użytkownik jest informowany o konieczności wykonania wcześniejszych kroków.",,
8.2,Sprawdzanie stabilności,"1. Wykonuj różne operacje w szybkim tempie (np. otwieranie/zamykanie zakładek, zmiana ustawień).
2. Obserwuj, czy aplikacja zachowuje stabilność.","- Aplikacja działa płynnie, bez zawieszania się czy awarii.",,
8.3,Zachowanie po ponownym uruchomieniu,"1. Wprowadź zmiany w ustawieniach (np. zmień motyw).
2. Zapisz pliki.
3. Zamknij aplikację i uruchom ją ponownie.","- Ustawienia są zachowane.
- Ostatnio wybrane repozytorium Git jest pamiętane.
- Ewentualnie ostatnio otwarte pliki są ponownie otwarte (jeśli taka funkcjonalność jest zaimplementowana).",,
9.1,Wprowadzanie błędów w kodzie,"1. W kodzie wprowadź celowe błędy składniowe lub stylistyczne (np. brak dwukropka po if w Pythonie).
2. Uruchom lintera.","- Linter wykrywa błędy i wyświetla je w panelu wyjściowym.
- Błędne linie są podkreślone w edytorze.",,
9.2,Poprawianie błędów,"1. Popraw błędy wykryte przez lintera.
2. Uruchom lintera ponownie.","- Linter nie zgłasza już tych błędów.
- Podkreślenia błędów znikają z edytora.",,
